node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type,degree,degree_centrality,betweenness_centrality
145818,Grattanville Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,24-FEB-2005,,,,Active,Portcullis Trustnet,643823,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.0620661737976281e-07
11010460,BOND & COMPANY,,,,,,"CORPORATE HOUSE SUITE 320-1100 MELVILLE STREET VANCOUVER, BC; CANADA V6E 4A6 *S.I.*",6848.0,,,,,ACTIVE,,,CAN,Canada,Panama Papers,The Panama Papers  data is current through 2015,,Intermediary,1166,0.0003536111009498726,0.0
147869,ACTIVE GAIN DEVELOPMENT LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS;David Chong & Co. Office B1, 7/F. Loyong Court 212-220 Lockhart Road Wanchai Hong Kong",,16-MAR-2005,,,,Active,Portcullis Trustnet,646856,CYM;VGB,Cayman Islands;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.7213857418941202e-05
125338,Orient Bulk Line Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,19-MAY-1999,,,,Active,Portcullis Trustnet,325364,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
149919,VERTICAL PROFIT GROUP LIMITED,,,BVI,British Virgin Islands,Business Company Limited by Shares,"David Chong & Co. Office B1, 7/F. Loyong Court 212-220 Lockhart Road Wanchai Hong Kong;Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,28-MAR-2006,,,,Active,Portcullis Trustnet,1018362,CYM;VGB,Cayman Islands;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,7.316091743790467e-05,0.00013509606117103446
156071,WIN AGAIN INTERNATIONAL LIMITED,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,20-SEP-2007,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,1433332,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,2.99162622879224e-08
145832,BARCELONA ASSETS INC.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,28-FEB-2005,,,,Company liquidated,Portcullis Trustnet,644022,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,7.316091743790467e-05,1.909505463197895e-06
166326,Shining Returns Investment Inc.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,19-SEP-2008,,,,Active,Portcullis Trustnet,1504020,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
145848,Ledbury Assets Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,22-MAR-2006,,,,Active,Portcullis Trustnet,1016600,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
164280,Maisonave Enterprise Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,17-AUG-2007,,,,Active,Portcullis Trustnet,1426103,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
166328,Victory Harvest Investment Ltd,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS;Menara Kadin 23rd Floor Jalan HR Rasuna Said Kav 2-3 Jakarta Selatan 12950 Indonesia",,19-SEP-2008,,,,Active,Portcullis Trustnet,1504017,VGB;IDN,British Virgin Islands;Indonesia,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,4.707417370519248e-06
164283,Glass Gear Investments Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS;6 Temasek Boulevard #09-06 Suntec Tower 4 Singapore 038986",,17-AUG-2007,,,,Active,Portcullis Trustnet,1426095,SGP;VGB,Singapore;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,4.707417370519248e-06
164286,Scenic Experience Inc.,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,17-AUG-2007,,,,Active,Portcullis Trustnet,1426086,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,4.707417370519248e-06
162242,Red Cliff International Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,28-APR-2006,,,,Active,Portcullis Trustnet,1024598,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
158148,OMNI SMART LIMITED,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,19-MAR-2008,,,,Active,Portcullis Trustnet,1471122,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,3.370684817450215e-06
166342,Purple Charme Group Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,22-SEP-2008,,,,Active,Portcullis Trustnet,1504146,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,7.431856299594027e-07
166344,Rising Reaps International Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,22-SEP-2008,,,,Active,Portcullis Trustnet,1504148,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
145867,Northern Hub Capital Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,20-MAR-2006,,,,Active,Portcullis Trustnet,1016556,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,4.707417370519248e-06
145868,Sheaffer Holdings Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,20-MAR-2006,,,,Active,Portcullis Trustnet,1016550,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
135629,Picmonte Corporation,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,29-NOV-2001,,,,Active,Portcullis Trustnet,471447,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,4.707417370519248e-06
154060,SPREAD WHOLE DEVELOPMENT LIMITED,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,11-APR-2007,,,,Active,Portcullis Trustnet,1397816,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,2.99162622879224e-08
164302,Parade Flair Limited,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,20-AUG-2007,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,1426891,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
49616,Secorp Limited,,,,,,,,,,,,,,,COK;SGP;CHE,Cook Islands;Singapore;Switzerland,Offshore Leaks,The Offshore Leaks data is current through 2010,,Officer,1155,0.009803562936679226,0.0030950406215594197
162259,Springwood Universal Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,03-MAY-2006,,,,Active,Portcullis Trustnet,1025308,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
162260,Capital Premiums Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,03-MAY-2006,,,,Active,Portcullis Trustnet,1025312,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,3.370684817450215e-06
